tmc_name,tmc_article,web_code,tmc_price
"Полка выдвижная, SHIP, 700255100, 440х550х44 мм., (для 900-1100 мм. шкафов)",700255100,24 310,"15 452,68"
"Блок питания Thermaltake Litepower 550W APFC 20+4 pin, 4+4pin (PS-LTP-0550NPCNEU-2)",PS-LTP-0550NPCNEU-2,105 428,"16 062,50"
Картридж Canon PGI-2400XL Black (Для iB4040/4140/ MB5040/5340/5440) (9257B001),9257B001,215 016,"16 617,43"
"LenKeng LKV373 RX (удлинитель HDMI, 100м, UTP, передатчик)",LenKeng LKV373 RX,269 688,"16 964,28"
"LenKeng LKV373 TX (удлинитель HDMI, 100м, UTP, передатчик)",LenKeng LKV373 TX,269 687,"16 964,29"
IP Phone power transformer for the 89/9900 phone series,CP-PWR-CUBE-4=,262 458,"17 167,86"
Тонер-картридж Canon C-EXV59 (для IR 2625i/2630i/2645i),3760C002,250 858,"17 410,71"
"Патч Панель, SHIP, Оригинал, P197-48, Категория 5e, 19"" (2U), 48 Портов",P197-48,28 161,"17 513,39"
"Внутренний SSD 2.5"" 7мм 512GB Hikvision E100 SATA-III 3D TLC (HS-SSD-E100/512G)",HS-SSD-E100/512G,257 524,"18 463,09"
Оперативная память DDR4 SODIMM 16GB/3200MHz Adata (AD4S320016G22-SGN),AD4S320016G22-SGN,267 104,"18 597,32"
"Конвертер UGREEN, USB 3.1(m) Type C на HDMI/VGA/LAN/CardReader/USB 3.0 HUB 3 port (70409)",70409,272 160,"18 750,00"
"UPS SVC, 800VA/480W, AVR:165-275В, 2Schuko, Black (V-800-L)",V-800-L,63 032,"18 839,29"
Hotspot HDMI Extender HSV891,HSV891,70 743,"19 434,49"
"Адаптер питания Neo 1*USB, 2*USB Type-C 3A, 120W (PD, GaN), White (NEO-PD-RC1201)",NEO-PD-RC1201,262 434,"20 167,68"
Картридж Europrint EPC-106R04349 (Для Xerox B210/B205/B215),EPC-106R04349 (B210/215),264 708,"20 346,43"
Картридж Canon 731 Magenta,731 Magenta,33 193,"20 383,74"
"Внутренний SSD 2.5"" 7мм 512GB Silicon power ACE A56 SATA-III 3D NAND (SP512GBSS3A56A25)",SP512GBSS3A56A25,231 853,"20 425,00"
"Кейс GameMax Paladin T801 MidTower, window, Black ATX (Paladin T801)",Paladin T801,190 205,"20 938,39"
Картридж Canon 731 Black,731 Black,33 191,"21 715,94"
"Клещи для обжима телефонных и компьютерных клемм RJ45, 8P и RJ11/12, 6P, компакт., CAT5 Gross",17723M,194 325,"22 369,90"
Купольная видеокамера Dahua DH-IPC-HDBW1230EP-0280B,DH-IPC-HDBW1230EP-0280B,235 269,"22 523,21"
Картридж HP 203A Black (Для M254/M280/M281) (CF540A),CF540A,225 246,"22 821,43"
Картридж Canon 731 Yellow,731 Yellow,33 192,"23 163,58"
Внутренний SSD M.2 2280 250GB Samsung 970 EVO Plus PCIe 3.0 x4 NVMe 3D MLC (MZ-V7S250BW),MZ-V7S250BW,141 700,"23 201,26"
"IP-телефон,4-SIP,HD звук X3SG",X3SG,251 560,"23 392,86"
Цилиндрическая видеокамера Dahua DH-IPC-HFW1431S1P-A-0280B,DH-IPC-HFW1431S1P-A-0280B,258 472,"23 862,50"
Оптический патчкорд LC/UPC-LC/UPC MM (50/125) 2mm (OM4) duplex 20m,duplex 20m,272 159,"23 928,57"
Тонер-картридж Canon C-EXV51 Magenta (для IR C5535/40/50/60),C-EXV51 Magenta,51 767,"24 810,02"
Тонер-картридж Canon C-EXV51 Yellow (для IR C5535/40/50/60),C-EXV51 Yellow,51 765,"24 810,02"
Картридж Canon 731 Cyan,731 Cyan,33 194,"25 564,92"
Картридж HP 203A Cyan (Для M254/M280/M281) (CF541A),CF541A,225 247,"26 815,18"
Картридж HP 203A Magenta (Для M254/M280/M281) (CF543A),CF543A,225 249,"26 815,18"
Картридж HP 203A Yellow (Для M254/M280/M281) (CF542A),CF542A,225 248,"26 815,18"
Сканер штрихкодов Zebra ручной 2D (DS-2208),DS-2208,204 966,"27 189,63"
Картридж Pantum CTL-1100XC Cyan (Для CP1100 2300 страниц),CTL-1100XC,268 602,"28 303,58"
Картридж Pantum CTL-1100XK Black (Для CP1100 3000 страниц),CTL-1100XK,268 603,"28 303,58"
Картридж Pantum CTL-1100XM Magenta (Для CP1100 2300 страниц),CTL-1100XM,268 604,"28 303,58"
Картридж Pantum CTL-1100XY Yellow (Для CP1100 2300 страниц),CTL-1100XY,268 605,"28 303,58"
Купольная видеокамера Dahua DH-IPC-HDBW3241EP-S-0280B,DH-IPC-HDBW3241EP-S-0280B,248 143,"28 571,43"
Тонер-картридж Canon C-EXV51 Black (для IR C5535/40/50/60),C-EXV51 Black,51 764,"29 017,86"
Оперативная память DDR4 DIMM 16GB(8GBx2)/3200MHz Team Delta R TUF RGB (TF9D416G3200HC16FDC01),TF9D416G3200HC16FDC01,238 638,"29 330,36"
Android TV Box AX95DB 4/32Gb,Android TV Box AX95DB 4/32Gb,266 497,"30 000,00"
Денежный ящик VIOTEH HVC-14А,HVC-14А,258 032,"32 142,86"
Фотобарабан Drum Unit C-EXV33 iR 2520/2525/2535/2545 (2772B003 ),2772B003,35 690,"32 589,29"
Материнская плата Asus PRIME H510M-E LGA1200 2DDR4 PCI-E 1x16 2x1 (HDMI+DP+VGA) mATX,PRIME H510M-E,245 985,"32 967,53"
"Монитор 23.5"" Samsung LS24F354FHIXCI 1920x1080 16:9 PLS 60ГЦ (HDMI+VGA) Black",LS24F354FHIXCI,230 232,"34 107,14"
Android TV Box Tox1,Android TV Box Tox1,266 496,"36 000,00"
"Внутренний HDD 3.5"" 4TB Western Digital Purple WD40PURX SATA-III (WD40PURX)",WD40PURX,37 927,"38 143,75"
"Монитор 24"" Samsung LS24D300H 1920х1080 16:9 TN 60ГЦ Black",LS24D300HSI/RU,111 119,"38 214,28"
"Монитор ЖК 24"" Samsung LS24D300HS Black",LS24D300HS/CI,27 217,"38 214,28"
Купольная видеокамера Dahua DH-IPC-HDPW1431R1P-ZS-S4,DH-IPC-HDPW1431R1P-ZS-S4,248 786,"38 500,00"
Материнская плата Asus PRIME B560M-K LGA1200 2DDR4 PCI-E 1x16 2x1 (HDMI+VGA) mATX,PRIME B560M-K,256 512,"40 590,28"
"Кабель сетевой, Ship, D135-P, Cat.5e, UTP, 4x2x1/0.51mm., PVC, 305 м/б",D135-P,19 078,"40 641,72"
Картридж Canon 057 Black (для LBP220/223/226/228/ MF440/443/446/449),3009C002,229 855,"40 894,94"
"Монитор 23.8"" LG 24MK400H 1920x1080 16:9 TN 75ГЦ Black",24MK400H,110 373,"40 993,00"
Картридж чистящий CL,Картридж чистящий CL,251 353,"41 071,43"
Жесткий диск для видеонаблюдения Dahua (ST4000VX000),ST4000VX000,227 746,"42 142,86"
"Монитор 23.5"" Samsung S24F356FHI 1920х1080 16:9 PLS 60ГЦ Black",LS24F356FHIXCI,95 771,"43 303,57"
"Монитор 24"" Samsung LF24T352FHIXCI 1920х1080 16:9 IPS 75ГЦ (HDMI) Black",LF24T352FHIXCI,249 358,"50 794,12"
Оперативная память DDR4 DIMM 16GB(8GBx2)/3600MHz PC-28800 TEAM XTREEM ARGB (TF10D416G3600HC18JDC01),TF10D416G3600HC18JDC01,212 809,"55 789,63"
Принтер лазерный Xerox Phaser 3052NI A4-N-W,3052VNI,217 385,"57 448,01"
